"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","var","sp"
-1.87099895368806,0.0156804753639781,0.216926634839216,-2.29659781888801,-1.99614787523884,-1.88353189685844,-1.76059332310302,-1.34761558322069,191.384741252753,1.01065785896363,"intercept","Wildebeest"
0.0359452634095814,0.00133415510009347,0.0734829657887293,-0.106648687656136,-0.0132528511333869,0.0343476805218183,0.0847323747315823,0.181337312975534,3033.61673144436,1.00044048361624,"village_dist","Wildebeest"
0.0618603589561841,0.00103071173847323,0.0544571193214259,-0.0532593697999843,0.0278653528543643,0.0633587625983577,0.098072738001253,0.165788533578189,2791.48233728536,0.99984603316981,"tourism_dist","Wildebeest"
-0.0966347321158332,0.00127582412389998,0.0731217203569498,-0.23555618373863,-0.144399996788957,-0.0969824698499795,-0.0486219302727562,0.0496931447903362,3284.81701600424,1.00017850098526,"river_dist","Wildebeest"
-0.318161314183938,0.00136755035042001,0.0808698053184687,-0.476642531658311,-0.371898518793034,-0.318747922395715,-0.262750443572366,-0.160937592178017,3496.92360731463,1.00092453601648,"woodycover","Wildebeest"
0.0195193508262631,0.00178066667655148,0.0819236651333415,-0.138517957224675,-0.0381577646150398,0.0217398197359318,0.0757253606806128,0.178158703401243,2116.67160912066,1.00074867852267,"nitrogen_dist","Wildebeest"
-0.0755068618292256,0.000988930020125942,0.06419670016745,-0.204435301930527,-0.116485903915475,-0.0735093300281393,-0.0330964993369636,0.0456167371070137,4213.99764866686,0.999871112418033,"runoff","Wildebeest"
0.105890131049449,0.00153442405065233,0.0813454819174534,-0.0526037110201184,0.0520655826209006,0.105292584965154,0.160499960041923,0.268247033313391,2810.45139427824,1.00048017193084,"fire_freq","Wildebeest"
0.0787955499450117,0.00145931768242292,0.0854778712963889,-0.0917362323994793,0.0227526608028766,0.0796362481157854,0.136114638391232,0.246712965533501,3430.89720941011,1.00009090462803,"water_dist","Wildebeest"
-0.0236403913392737,0.00066298614825434,0.039965318846166,-0.10100799001127,-0.0496905459332558,-0.0234990258593393,0.00314389897942138,0.0526554253110207,3633.77183735187,1.0004649554415,"rain","Wildebeest"
-0.0469725923408236,0.00101340629265566,0.0560619760544908,-0.155608307991131,-0.0849218143554863,-0.0487951924335377,-0.0090709266161591,0.0668422306703206,3060.33951404276,1.00065117458442,"grass","Wildebeest"
-0.0360166172444037,0.001671457270694,0.0782961176867877,-0.196094941472651,-0.0869444701945271,-0.033630325109916,0.0200122272892451,0.107708158077318,2194.26915757791,1.00326184196803,"ndvi","Wildebeest"
0.272176792018963,0.00110776042289294,0.0609768609573835,0.154791807268864,0.231846068876567,0.272040600173379,0.314138191938086,0.391370039586875,3029.97075622686,1.00070458973354,"a_ndvi","Wildebeest"
0.346903161717661,0.00253805274341118,0.142823576834258,0.0832312210467396,0.247778891651694,0.34050287049398,0.44849371292183,0.629030887704087,3166.63876931935,0.999617742286841,"d_ndvi","Wildebeest"
-1.44295716386918,0.0157283519545237,0.210003903743996,-1.84987983863788,-1.56115484949045,-1.45522496131263,-1.33672178518288,-0.920975688718266,178.274118651105,1.0114911773297,"intercept","Zebra"
0.01078751111412,0.00095945371265712,0.0531168685494319,-0.0930871451863247,-0.0252564535133058,0.0112551412751606,0.0461118130496174,0.115756739228692,3064.90397230188,1.00003767106543,"village_dist","Zebra"
0.0488681162818846,0.00101008718419181,0.0475267649455058,-0.046932033372128,0.0184414003481909,0.0501846227148325,0.0817178932369928,0.136672550352337,2213.90400367225,1.00057225303517,"tourism_dist","Zebra"
0.119584123555262,0.000944204581613777,0.0547385131239419,0.0116538694434829,0.0821458110330071,0.120481428048272,0.157113577868101,0.22606055617618,3360.88603292055,0.999922336044742,"river_dist","Zebra"
-0.165229563692589,0.000882686241016357,0.0539287408169957,-0.273320874650886,-0.201227193656073,-0.164095315476465,-0.128200819343877,-0.0622281792146307,3732.74090601709,1.00006089517681,"woodycover","Zebra"
-0.0174212121127143,0.00117344647871724,0.0600936925696577,-0.134590240569572,-0.0580266664669754,-0.0163067989308514,0.0228796026663846,0.10146661591377,2622.59488353865,0.999709492136518,"nitrogen_dist","Zebra"
-0.0310147501240823,0.000758600740646084,0.0464990449145247,-0.122434452472192,-0.0626071326812436,-0.0311644710416931,0.00028054991757845,0.0603021750792545,3757.17600843536,1.00005712767507,"runoff","Zebra"
0.134595667741234,0.000990432042050728,0.0574953308042159,0.0249419392614405,0.0951068351625857,0.134571149953198,0.17494440692592,0.24102504445511,3369.890506213,0.999635945040319,"fire_freq","Zebra"
0.0569154324311419,0.00117394950160178,0.0659899362009867,-0.0728847968081421,0.0124806165600615,0.0559753600802039,0.101768421751279,0.185896644678104,3159.77810496427,0.999264820117574,"water_dist","Zebra"
-0.0358825529839949,0.000463500674441822,0.0300220394966973,-0.0951870722154979,-0.0567510309498333,-0.0350052411999223,-0.0160837679786666,0.0233581123952059,4195.46056286077,1.0000762478141,"rain","Zebra"
-0.0320629206004325,0.000753236041587469,0.0428093856341512,-0.116782713377709,-0.0601392894594782,-0.0321869454997347,-0.00394536468085165,0.0525895242813033,3230.09879439291,1.00067096870008,"grass","Zebra"
0.160206029105886,0.00122654331407291,0.0566617101411201,0.0496598787460589,0.121258782445261,0.159512144273614,0.19848586167446,0.272296334516819,2134.09415949755,1.00009283083578,"ndvi","Zebra"
0.109199913499608,0.000755283162953304,0.0434684208860642,0.0202440563593035,0.0807258249345073,0.109505514931169,0.138765036036197,0.195585556320573,3312.28822174263,1.00038247835692,"a_ndvi","Zebra"
